StadiumName,City,Street,Postcode,Capacity,BuildingDate,PitchLength,PitchWidth,RecordLeagueAttendance
Emirates Stadium,London,75 Drayton Park,N5 1BU,60260,2006,105,68,60161
Villa Park,Birmingham,Trinity Road,B66HE,42682,1897,105,68,76588
Brentford Community Stadium,Brentford,Lionel Road South,TW8 0RU,17250,2020,105,68,17094
Amex Stadium,Brighton,Village Way,BN1 9BL,30666,2011,105,68,30565
Turf Moor,Burnley,Harry Potts Way,BB10 4BX,21944,1883,105,68,21870
Stamford Bridge,London,Fulham Road,SW6 1HS,40853,1877,103,67.5,42332
Selhurst Park,London,Holmesdale Road,SE25 6PU,25486,1924,101,68,30115
Goodison Park,Liverpool,Goodison Road,L4 4EL,39221,1892,100.48,68,40552
Elland Road,Leeds,Elland Road,LS11 0ES,37890,1897,106,69,57892
King Power Stadium,Leicester,Filbert Way,LE2 7FL,32273,2002,105,68,32242
Anfield,Liverpool,Anfield Road,L4 0TH,53394,1884,101,68,53292
Etihad Stadium,Manchester,Etihad Campus,M11 3FF,55017,2002,105,68,54693
Old Trafford,Manchester,Sir Matt Busby Way,M16 0RA,74879,1909,105,68,76098
St. James' Park,Newcastle Upon Tyne,Strawberry Place,NE1 4ST,52305,1892,105,68,52490
Carrow Road,Norwich,Carrow Road,NR1 1JE,27359,1935,104,68,43984
St. Mary's Stadium,Southampton,Britannia Road,SO14 5FP,32384,2001,105,68,32151
Tottenham Hotspur Stadium,London,782 High Road,N17 0BX,62062,2019,100,67,61104
Vicarage Road,Watford,Vicarage Road,WD18 0ER,21000,1922,105,68,21590
London Stadium,London,Queen Elizabeth Olympic Park,E20 2ST,60000,2011,105,68,59946
Molineux Stadium,Wolverhampton,Waterloo Rd,WV1 4QR,32050,1889,105,68,31322
Craven Cottage,London,Stevenage Road,SW6 6HH,19000,1896,100,65,49335
Bramall Lane,Sheffield,Highfield,S2 4SU,32050,1855,102,66,68287
The Hawthorns,West Bromwich,Hawthorns,B71 4LF,26688,1900,105,68,27751
Cardiff City Stadium,Cardiff,Leckwith Road,CF11 8AZ,33316,2009,105,68,32321
John Smith's Stadium,Huddersfield,Stadium Way,HD1 6PX,24169,1994,106,68,24426
Vitality Stadium,Bournemouth,Boscombe,BH7 7AF,11923,1910,105,68,11459
